"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_2254",0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"OTU_2255",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"OTU_2256",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"OTU_226",0,0,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,0,0
"OTU_2262",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
"OTU_2269",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2275",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"OTU_2280",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_23",0,0,3,126,67,0,679,907,0,9,8600,218,74,0,1759,0,393,7065
"OTU_2306",7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2310",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2311",0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0
"OTU_2317",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2319",0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2329",0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_2334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"OTU_2340",0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"OTU_2344",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2348",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"OTU_235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0
"OTU_2350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"OTU_2351",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2353",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_236",13,51,0,0,0,0,0,114,17,0,0,0,2,0,8,17,0,13
"OTU_239",0,0,0,0,206,0,0,0,0,0,0,0,0,0,374,0,0,6
"OTU_24",0,0,0,0,0,0,49,11907,0,0,0,50,164,0,20,0,51,0
"OTU_2407",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"OTU_2414",0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"OTU_2415",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"OTU_2424",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"OTU_2437",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2449",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2458",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
