"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1187",0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1188",0,0,0,0,0,0,0,0,3,0,0,0,0,0,25,0,0,49
"OTU_1189",0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0
"OTU_119",0,161,76,1721,450,700,181,0,296,54,60,253,0,323,53,0,0,0
"OTU_1190",0,0,0,0,0,0,21,0,0,43,0,0,0,0,0,0,0,24
"OTU_1194",0,150,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"OTU_1195",0,13,0,0,0,0,0,28,9,7,0,0,0,0,29,0,0,0
"OTU_1196",0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1198",0,43,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"OTU_12",0,0,297,51063,0,0,0,0,0,0,0,0,66,506,0,0,0,0
"OTU_120",13,168,15,11,29,47,189,162,2595,335,0,0,170,0,12,0,0,0
"OTU_1200",0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1201",0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
"OTU_1204",0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0
"OTU_1208",0,90,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"OTU_1209",0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_121",0,0,2091,0,0,0,0,0,0,0,0,0,3378,0,0,0,0,0
"OTU_1211",0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
"OTU_1213",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1214",0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1217",0,0,0,0,28,49,0,0,0,0,0,0,0,0,10,0,11,0
"OTU_1218",0,136,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"OTU_1219",0,0,0,0,0,0,26,14,0,60,0,0,0,0,0,0,0,0
"OTU_122",474,299,450,315,70,18,548,81,309,84,57,201,233,398,88,46,413,0
"OTU_1221",0,19,0,0,0,0,0,0,69,0,0,0,0,0,7,0,0,0
"OTU_1222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,54
"OTU_1223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,16
"OTU_1225",0,0,0,0,0,0,0,0,59,0,0,56,0,0,0,0,0,0
"OTU_1226",0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
"OTU_1227",0,0,29,0,53,18,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_123",0,3382,0,0,24,0,0,0,0,0,0,0,0,0,167,7,10,17
"OTU_1230",12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,14,0
"OTU_1232",15,0,0,0,0,0,0,15,18,0,0,0,0,0,21,11,0,5
"OTU_1233",0,0,0,0,25,10,0,0,10,0,0,0,0,0,0,0,0,27
"OTU_1235",0,23,0,0,10,5,6,0,42,10,0,0,0,0,0,0,0,0
"OTU_1238",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_124",0,0,0,0,0,0,0,0,0,0,0,0,5657,0,0,0,0,0
"OTU_1240",0,0,0,0,4,0,0,74,32,0,0,0,0,0,0,0,0,0
"OTU_1242",0,0,0,0,0,0,0,0,0,0,0,0,138,16,0,0,0,0
"OTU_1243",110,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_1245",0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
"OTU_1246",0,0,59,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
"OTU_1247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
"OTU_125",0,0,0,529,0,0,0,0,0,18,216,0,0,0,45,0,147,0
"OTU_1251",6,41,0,0,5,0,0,0,42,3,0,0,0,0,0,0,0,0
"OTU_1254",0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1255",0,0,0,0,0,0,0,0,41,0,0,0,34,0,10,0,0,0
"OTU_1259",0,46,0,0,0,0,0,24,30,0,0,0,0,0,0,0,0,0
"OTU_126",0,0,0,3607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,30,0,0
"OTU_1261",0,0,12,0,0,0,0,0,0,0,0,0,41,62,0,0,0,0
"OTU_1262",0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"OTU_1264",0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1266",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"OTU_1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"OTU_1268",0,0,25,0,0,0,0,16,10,4,0,0,27,28,0,0,0,0
"OTU_127",0,0,0,0,0,0,0,0,0,0,0,168,0,0,279,88,886,17
"OTU_1270",0,0,0,0,5,0,0,37,52,0,0,0,0,0,0,0,0,0
"OTU_1271",0,0,162,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"OTU_1272",0,0,0,0,0,0,20,0,70,0,0,0,0,0,0,0,0,0
"OTU_1273",0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1274",0,0,24,42,0,0,0,0,0,0,0,15,0,30,0,0,0,0
"OTU_1276",0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1278",0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,51,0,0
"OTU_128",0,0,1976,0,0,0,114,0,0,1236,0,0,0,245,0,0,0,0
"OTU_1280",0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
"OTU_1283",67,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
"OTU_1284",0,5,26,0,0,0,0,0,6,0,0,0,6,9,0,0,29,0
"OTU_1285",0,0,13,0,0,0,16,0,0,0,0,0,0,0,16,9,0,0
"OTU_1287",0,51,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1288",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1289",0,88,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
"OTU_129",43,237,257,0,51,23,730,186,201,167,129,138,306,0,633,122,376,0
"OTU_1290",0,57,34,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"OTU_1291",0,0,0,0,43,27,0,0,0,0,0,0,0,0,20,0,5,5
"OTU_1292",12,24,0,0,0,0,4,12,17,3,24,0,0,0,0,0,0,0
"OTU_1293",0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0
