"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1499",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
"OTU_1506",0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0
"OTU_1507",0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0
"OTU_151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,45,19,0
"OTU_1519",0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0
"OTU_152",0,0,12,0,0,0,0,0,0,0,0,0,0,0,45,37,291,0
"OTU_1522",1,15,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"OTU_1524",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"OTU_153",25,0,0,233,0,0,0,0,0,0,0,0,135,0,0,0,0,0
"OTU_1530",0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,1,0
"OTU_1535",0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1536",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
"OTU_1537",0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0
"OTU_1539",0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_154",432,0,0,1,29,0,8,0,0,67,0,0,0,0,5,0,1,0
"OTU_1540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"OTU_1542",0,16,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0
"OTU_1545",0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0
"OTU_1547",0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"OTU_155",9,0,0,35,0,0,0,0,0,0,20,0,0,0,2,0,0,160
"OTU_1550",0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU_1551",0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"OTU_1552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"OTU_1554",0,0,5,0,0,0,0,1,1,0,0,0,5,0,2,0,0,0
"OTU_1555",0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0
"OTU_1556",0,4,6,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0
"OTU_156",433,5,0,14,5,0,1,31,2,4,0,38,25,3,3,0,0,4
"OTU_1560",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_1561",0,0,0,0,6,0,0,3,2,0,0,0,0,0,0,0,0,1
"OTU_1563",0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"OTU_1564",0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_1566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0
"OTU_157",0,0,130,0,0,0,0,0,0,0,47,0,875,0,0,0,0,0
"OTU_1571",0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0
"OTU_1578",0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0
"OTU_1579",0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"OTU_158",0,0,0,0,12,12,0,0,0,0,0,0,0,0,3,7,0,184
"OTU_1581",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"OTU_1583",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1585",0,10,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"OTU_1588",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_159",0,0,0,0,0,0,0,0,0,0,0,1043,46,9,0,0,0,0
"OTU_1590",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"OTU_1600",0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,2
"OTU_1602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"OTU_1603",0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0
"OTU_1608",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2
"OTU_161",2,0,0,2,361,26,0,0,0,0,0,0,0,0,10,0,12,0
"OTU_1610",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"OTU_1611",0,0,14,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0
"OTU_1613",0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0
"OTU_162",0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0
"OTU_1622",0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0
"OTU_1628",0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"OTU_164",3,0,0,0,0,0,0,0,0,0,47,0,0,0,4,0,51,0
"OTU_1640",0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
"OTU_1642",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"OTU_1644",0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1645",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0
"OTU_1648",0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_165",0,0,0,0,45,27,0,0,0,0,0,0,0,0,0,0,0,171
"OTU_166",232,0,0,22,0,0,3,0,0,0,0,0,5,133,0,0,0,47
"OTU_1660",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_1662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"OTU_1663",0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_1666",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1667",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
"OTU_1669",0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_167",0,147,0,0,0,0,48,44,34,15,0,0,438,24,23,112,0,0
"OTU_1671",0,0,0,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0
"OTU_1674",0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0
"OTU_1677",0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0
"OTU_1679",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"OTU_1680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"OTU_1683",0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,1,0
"OTU_1685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
"OTU_1691",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_1694",0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"OTU_1696",0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_1698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"OTU_170",1,0,0,12,0,0,3,9,9,3,0,729,0,0,0,0,1,0
"OTU_1700",0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0
"OTU_1702",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"OTU_1705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"OTU_1710",7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_1712",0,6,3,0,0,0,2,3,3,0,0,0,0,1,0,0,0,0
"OTU_1713",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"OTU_1720",0,0,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0
"OTU_1722",0,0,0,0,5,6,0,0,1,0,0,0,0,0,3,8,1,0
"OTU_1728",0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0
"OTU_1729",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"OTU_173",0,0,23,0,0,0,0,0,0,0,0,97,196,0,108,398,44,10
"OTU_1730",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"OTU_1731",0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1734",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"OTU_1736",0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1745",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1747",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0
"OTU_1748",0,0,0,0,2,0,3,3,4,1,0,0,0,0,0,0,0,0
"OTU_1750",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1751",0,10,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
"OTU_1754",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"OTU_1760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"OTU_1766",0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0
"OTU_1767",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
