"","Z.BR1","Z.BR2","Z.BR3","Z.CN1","Z.CN2","Z.CN3","Z.DC1","Z.DC2","Z.DC3","Z.DN1","Z.DU1","Z.DU2","Z.DU3","Z.EL1","Z.EL2","Z.EL3","Z.HB1","Z.HB2","Z.HB3","Z.HN1","Z.HN2","Z.HN3","Z.KN1","Z.KN2","Z.KN3","Z.MB1","Z.MB2","Z.MB3","Z.MN1","Z.MN2","Z.MN3","Z.NK1","Z.NK2","Z.NK3","Z.PA1","Z.PA2","Z.PA3","Z.PE.B","Z.PE1","Z.PE2","Z.PE3","Z.RB1","Z.RB2","Z.RB3","Z.RN1","Z.RN2","Z.RN3","Z.SB1","Z.SB2","Z.SB3","Z.SM1","Z.SM2","Z.SM3","Z.SN1","Z.SN2","Z.SN3","Z.SY1","Z.SY2","Z.SY3","Z.TB1","Z.TB2","Z.TB3"
"Zotu110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,10609,11002,9136,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1103",0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,201,412,181
"Zotu1104",0,11,10,38,69,47,0,0,0,0,21,54,23,32,29,21,18,3,7,0,0,5,5,8,8,61,73,58,27,29,26,38,32,15,3,20,35,0,7,13,10,14,19,21,14,4,0,52,48,32,70,58,79,15,20,22,0,0,3,11,11,8
"Zotu1105",0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,5,28,25,29,16,13,12,0,0,0,0,0,0,4,5,0,0,4,0,3,0,4,0,0,0,0,11,13,11,14,8,13,103,106,106,64,55,57,15,20,8,11,16,23,4,18,6
"Zotu1108",0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,93,57,55,34,26,34,3,6,0,75,59,39,30,51,45,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,3,0,0,0
"Zotu1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,437,157
"Zotu111",145,135,188,13,11,16,0,0,0,0,6,0,0,7893,5658,5445,28,5,20,14,9,12,18,16,16,51,48,51,31,56,52,23,57,29,286,299,387,8,80,62,91,3,0,5,2754,3220,2550,67,66,55,100,127,123,36,33,32,5,17,21,167,494,132
"Zotu1110",0,0,0,339,382,337,0,0,0,0,0,0,0,10,0,8,12,8,3,9,13,24,0,0,0,0,0,0,34,63,58,0,4,4,6,15,14,0,5,12,12,0,0,0,0,0,0,0,9,3,27,28,27,34,48,31,0,0,0,25,58,14
"Zotu1111",0,0,0,172,232,233,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0
"Zotu1112",0,0,0,0,0,0,0,0,0,0,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,332,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1113",7,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,24,55,81,97,18,16,29,0,0,0,236,26,23,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1114",19,15,37,221,234,187,0,0,0,0,0,0,0,6,0,0,43,24,35,9,5,13,54,71,63,6,12,13,43,63,39,14,15,8,10,0,7,0,19,22,25,5,7,6,0,0,0,24,10,10,112,144,135,97,95,96,0,0,0,77,126,41
"Zotu1115",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49,33,0,0,0,0,0,0,104,140,77,0,6,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,167,28
"Zotu1116",0,0,0,0,0,0,0,0,0,658,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
