"","V1","V2","V3","V4"
"406",0.765,0.4,51,20
"407",0.459,0.42,51,20
"408",0.364,0.44,51,20
"409",0.002,0.3,52,20
"410",0.004,0.32,52,20
"411",0.178,0.34,52,20
"412",0.014,0.36,52,20
"413",0.635,0.38,52,20
"414",0.804,0.4,52,20
"415",0.375,0.42,52,20
"416",0.766,0.44,52,20
"417",0.001,0.3,53,20
"418",0.006,0.32,53,20
"419",0.021,0.34,53,20
"420",0.038,0.36,53,20
"421",0.065,0.38,53,20
"422",0.278,0.4,53,20
"423",0.449,0.42,53,20
"424",0.535,0.44,53,20
"425",0.001,0.3,54,20
"426",0.001,0.32,54,20
"427",0.02,0.34,54,20
"428",0.002,0.36,54,20
"429",0.219,0.38,54,20
"430",0.011,0.4,54,20
"431",0.909,0.42,54,20
"432",0.041,0.44,54,20
"433",0.005,0.3,55,20
"434",0.002,0.32,55,20
"435",0.008,0.34,55,20
"436",0.08,0.36,55,20
"437",0.023,0.38,55,20
"438",0.643,0.4,55,20
"439",0.025,0.42,55,20
"440",0.226,0.44,55,20
"441",0.061,0.3,56,20
"442",0.006,0.32,56,20
"443",0.033,0.34,56,20
"444",0.35,0.36,56,20
"445",0.015,0.38,56,20
"446",0.04,0.4,56,20
"447",0.211,0.42,56,20
"448",0.191,0.44,56,20
"449",0.003,0.3,57,20
"450",0.007,0.32,57,20
"451",0.016,0.34,57,20
"452",0.075,0.36,57,20
"453",0.1,0.38,57,20
"454",0.265,0.4,57,20
"455",0.407,0.42,57,20
"456",0.242,0.44,57,20
"457",0.002,0.3,58,20
"458",0.025,0.32,58,20
"459",0.003,0.34,58,20
"460",0.115,0.36,58,20
"461",0.002,0.38,58,20
"462",0.134,0.4,58,20
"463",0.113,0.42,58,20
"464",0.738,0.44,58,20
"465",0.003,0.3,59,20
"466",0.091,0.32,59,20
"467",0.01,0.34,59,20
"468",0.015,0.36,59,20
"469",0.066,0.38,59,20
"470",0.148,0.4,59,20
"471",0.059,0.42,59,20
"472",0.339,0.44,59,20
"473",0.001,0.3,60,20
"474",0.007,0.32,60,20
"475",0.353,0.34,60,20
"476",0.079,0.36,60,20
"477",0.035,0.38,60,20
"478",0.087,0.4,60,20
"479",0.525,0.42,60,20
"480",0.07,0.44,60,20
"481",0.001,0.3,61,20
"482",0.003,0.32,61,20
"483",0.044,0.34,61,20
"484",0.237,0.36,61,20
"485",0.261,0.38,61,20
"486",0.259,0.4,61,20
"487",0.546,0.42,61,20
"488",0.588,0.44,61,20
"489",0.001,0.3,62,20
"490",0.001,0.32,62,20
"491",0.067,0.34,62,20
"492",0.024,0.36,62,20
"493",0.008,0.38,62,20
"494",0.018,0.4,62,20
"495",0.089,0.42,62,20
"496",0.038,0.44,62,20
"497",0.001,0.3,63,20
"498",0.066,0.32,63,20
"499",0.019,0.34,63,20
"500",0.011,0.36,63,20
"501",0.023,0.38,63,20
"502",0.36,0.4,63,20
"503",0.266,0.42,63,20
"504",0.604,0.44,63,20
"505",0.006,0.3,64,20
"506",0.022,0.32,64,20
"507",0.003,0.34,64,20
"508",0.027,0.36,64,20
"509",0.788,0.38,64,20
"510",0.159,0.4,64,20
"511",0.944,0.42,64,20
"512",0.353,0.44,64,20
"513",0.007,0.3,65,20
"514",0.002,0.32,65,20
"515",0.01,0.34,65,20
"516",0.428,0.36,65,20
"517",0.011,0.38,65,20
"518",0.014,0.4,65,20
"519",0.199,0.42,65,20
"520",0.268,0.44,65,20
"521",0.002,0.3,66,20
"522",0.001,0.32,66,20
"523",0.043,0.34,66,20
"524",0.163,0.36,66,20
"525",0.484,0.38,66,20
"526",0.029,0.4,66,20
"527",0.737,0.42,66,20
"528",0.676,0.44,66,20
"529",0.002,0.3,67,20
"530",0.001,0.32,67,20
"531",0.016,0.34,67,20
"532",0.157,0.36,67,20
"533",0.565,0.38,67,20
"534",0.384,0.4,67,20
"535",0.235,0.42,67,20
"536",0.335,0.44,67,20
"537",0.005,0.3,68,20
"538",0.035,0.32,68,20
"539",0.001,0.34,68,20
"540",0.292,0.36,68,20
"541",0.031,0.38,68,20
"542",0.635,0.4,68,20
"543",0.752,0.42,68,20
"544",0.44,0.44,68,20
"545",0.006,0.3,69,20
"546",0.034,0.32,69,20
"547",0.135,0.34,69,20
"548",0.072,0.36,69,20
"549",0.547,0.38,69,20
"550",0.186,0.4,69,20
"551",0.103,0.42,69,20
"552",0.856,0.44,69,20
"553",0.007,0.3,70,20
"554",0.048,0.32,70,20
"555",0.035,0.34,70,20
"556",0.003,0.36,70,20
"557",0.677,0.38,70,20
"558",0.172,0.4,70,20
"559",0.619,0.42,70,20
"560",0.165,0.44,70,20
"561",0.002,0.3,71,20
"562",0.005,0.32,71,20
"563",0.007,0.34,71,20
"564",0.017,0.36,71,20
"565",0.338,0.38,71,20
"566",0.03,0.4,71,20
"567",0.288,0.42,71,20
"568",0.34,0.44,71,20
"569",0.022,0.3,72,20
"570",0.001,0.32,72,20
"571",0.103,0.34,72,20
"572",0.034,0.36,72,20
"573",0.09,0.38,72,20
"574",0.017,0.4,72,20
"575",0.14,0.42,72,20
"576",0.114,0.44,72,20
"577",0.044,0.3,73,20
"578",0.005,0.32,73,20
"579",0.292,0.34,73,20
"580",0.036,0.36,73,20
"581",0.056,0.38,73,20
"582",0.347,0.4,73,20
"583",0.781,0.42,73,20
"584",0.454,0.44,73,20
"585",0.002,0.3,74,20
"586",0.002,0.32,74,20
"587",0.09,0.34,74,20
"588",0.086,0.36,74,20
"589",0.06,0.38,74,20
"590",0.443,0.4,74,20
"591",0.131,0.42,74,20
"592",0.437,0.44,74,20
"593",0.001,0.3,75,20
"594",0.006,0.32,75,20
"595",0.019,0.34,75,20
"596",0.003,0.36,75,20
"597",0.135,0.38,75,20
"598",0.062,0.4,75,20
"599",0.229,0.42,75,20
"600",0.04,0.44,75,20
"601",0.002,0.3,76,20
"602",0.066,0.32,76,20
"603",0.001,0.34,76,20
"604",0.002,0.36,76,20
"605",0.187,0.38,76,20
"606",0.043,0.4,76,20
"607",0.353,0.42,76,20
"608",0.81,0.44,76,20
"609",0.001,0.3,77,20
"610",0.005,0.32,77,20
"611",0.004,0.34,77,20
"612",0.206,0.36,77,20
"613",0.315,0.38,77,20
"614",0.298,0.4,77,20
"615",0.142,0.42,77,20
"616",0.101,0.44,77,20
"617",0.001,0.3,78,20
"618",0.006,0.32,78,20
"619",0.003,0.34,78,20
"620",0.017,0.36,78,20
"621",0.018,0.38,78,20
"622",0.011,0.4,78,20
"623",0.066,0.42,78,20
"624",0.134,0.44,78,20
"625",0.064,0.3,79,20
"626",0.005,0.32,79,20
"627",0.127,0.34,79,20
"628",0.066,0.36,79,20
"629",0.008,0.38,79,20
"630",0.083,0.4,79,20
"631",0.016,0.42,79,20
"632",0.446,0.44,79,20
"633",0.003,0.3,80,20
"634",0.001,0.32,80,20
"635",0.044,0.34,80,20
"636",0.274,0.36,80,20
"637",0.14,0.38,80,20
"638",0.147,0.4,80,20
"639",0.428,0.42,80,20
"640",0.034,0.44,80,20
"641",0.003,0.3,81,20
"642",0.001,0.32,81,20
"643",0.072,0.34,81,20
"644",0.004,0.36,81,20
"645",0.034,0.38,81,20
"646",0.099,0.4,81,20
"647",0.372,0.42,81,20
"648",0.091,0.44,81,20
"649",0.001,0.3,82,20
"650",0.011,0.32,82,20
"651",0.052,0.34,82,20
"652",0.129,0.36,82,20
"653",0.289,0.38,82,20
"654",0.112,0.4,82,20
"655",0.224,0.42,82,20
"656",0.415,0.44,82,20
"657",0.003,0.3,83,20
"658",0.014,0.32,83,20
"659",0.074,0.34,83,20
"660",0.378,0.36,83,20
"661",0.002,0.38,83,20
"662",0.174,0.4,83,20
"663",0.038,0.42,83,20
"664",0.39,0.44,83,20
"665",0.001,0.3,84,20
"666",0.008,0.32,84,20
"667",0.012,0.34,84,20
"668",0.149,0.36,84,20
"669",0.006,0.38,84,20
"670",0.245,0.4,84,20
"671",0.284,0.42,84,20
"672",0.172,0.44,84,20
"673",0.001,0.3,85,20
"674",0.271,0.32,85,20
"675",0.003,0.34,85,20
"676",0.058,0.36,85,20
"677",0.551,0.38,85,20
"678",0.006,0.4,85,20
"679",0.171,0.42,85,20
"680",0.484,0.44,85,20
"681",0.001,0.3,86,20
"682",0.057,0.32,86,20
"683",0.001,0.34,86,20
"684",0.234,0.36,86,20
"685",0.091,0.38,86,20
"686",0.112,0.4,86,20
"687",0.786,0.42,86,20
"688",0.211,0.44,86,20
"689",0.002,0.3,87,20
"690",0.003,0.32,87,20
"691",0.092,0.34,87,20
"692",0.003,0.36,87,20
"693",0.252,0.38,87,20
"694",0.078,0.4,87,20
"695",0.744,0.42,87,20
"696",0.078,0.44,87,20
"697",0.001,0.3,88,20
"698",0.005,0.32,88,20
"699",0.001,0.34,88,20
"700",0.065,0.36,88,20
"701",0.065,0.38,88,20
"702",0.201,0.4,88,20
"703",0.49,0.42,88,20
"704",0.84,0.44,88,20
"705",0.003,0.3,89,20
"706",0.002,0.32,89,20
"707",0.006,0.34,89,20
"708",0.155,0.36,89,20
"709",0.398,0.38,89,20
"710",0.584,0.4,89,20
"711",0.661,0.42,89,20
"712",0.479,0.44,89,20
"713",0.001,0.3,90,20
"714",0.074,0.32,90,20
"715",0.025,0.34,90,20
"716",0.042,0.36,90,20
"717",0.016,0.38,90,20
"718",0.576,0.4,90,20
"719",0.665,0.42,90,20
"720",0.473,0.44,90,20
"721",0.125,0.3,91,20
"722",0.002,0.32,91,20
"723",0.018,0.34,91,20
"724",0.022,0.36,91,20
"725",0.119,0.38,91,20
